단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
e편한세상염창,2019,156800,2025,10,1,84.9529,7,염창동,309,11500,중개거래,개인,개인
가양2단지(성지),1992,51000,2025,10,1,39.6,1,가양동,1461,11500,중개거래,개인,개인
가양6단지,1992,85000,2025,10,1,58.65,1,가양동,1485,11500,중개거래,개인,개인
가양6단지,1992,87650,2025,10,1,49.5,11,가양동,1485,11500,중개거래,개인,개인
가양6단지,1992,87000,2025,10,1,49.5,15,가양동,1485,11500,중개거래,개인,개인
강변,1992,59990,2025,10,1,34.44,14,가양동,1475,11500,중개거래,개인,개인
강변,1992,59000,2025,10,1,39.6,1,가양동,1475,11500,중개거래,개인,개인
강변,1992,83900,2025,10,1,49.5,15,가양동,1475,11500,중개거래,개인,개인
강서한강자이,2013,121000,2025,10,1,59.9382,4,가양동,1500,11500,중개거래,개인,개인
관음삼성,1997,100000,2025,10,1,84.93,9,염창동,268,11500,중개거래,개인,개인
대림경동아파트,1993,129700,2025,10,1,131.4,5,가양동,1474,11500,중개거래,개인,개인
동서3호(381-22),2003,22500,2025,10,1,49.11,7,화곡동,381-22,11500,중개거래,개인,개인
동성,1995,114500,2025,10,1,101.88,3,등촌동,691-1,11500,중개거래,개인,개인
동신대아,1993,150000,2025,10,1,134.88,14,가양동,1459,11500,중개거래,개인,법인
등마루,2003,52500,2025,10,1,89.3,6,등촌동,365-201,11500,중개거래,개인,개인
등촌동아이파크,2004,118000,2025,10,1,84.9958,16,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,111600,2025,10,1,84.7556,10,등촌동,715,11500,중개거래,개인,개인
마곡 한진해모로,2004,63500,2025,10,1,59.92,5,방화동,579,11500,중개거래,개인,개인
마곡13단지힐스테이트마스터,2017,154000,2025,10,1,84.9805,3,마곡동,748,11500,중개거래,개인,개인
마곡수명산파크5단지,2008,93000,2025,10,1,59.84,4,내발산동,749,11500,중개거래,개인,개인
마곡엠밸리5단지,2014,140000,2025,10,1,84.95,3,마곡동,740,11500,중개거래,개인,개인
마곡우림필유아파트,2003,86400,2025,10,1,84.528,5,마곡동,1467,11500,중개거래,개인,개인
삼성꽃마을,1997,57000,2025,10,1,59.99,11,방화동,858,11500,중개거래,개인,개인
삼성하나로,1994,65500,2025,10,1,59.26,2,염창동,248-3,11500,중개거래,개인,개인
삼성한사랑1,1997,69800,2025,10,1,59.69,8,등촌동,632-4,11500,중개거래,개인,개인
우성,1992,64000,2025,10,1,66.9,7,등촌동,630-3,11500,중개거래,개인,개인
우장산롯데캐슬,2003,139000,2025,10,1,177.86,14,화곡동,1145,11500,중개거래,개인,개인
우장산숲아이파크,2022,114400,2025,10,1,59.9983,8,화곡동,1173,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,135000,2025,10,1,84.97,6,화곡동,1159,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,127000,2025,10,1,59.98,13,화곡동,1159,11500,중개거래,개인,개인
우장산힐스테이트,2005,123800,2025,10,1,59.98,9,내발산동,657,11500,중개거래,개인,개인
우장산힐스테이트,2005,125500,2025,10,1,59.98,4,내발산동,657,11500,중개거래,개인,개인
원흥타운,1996,50800,2025,10,1,83.7,7,화곡동,1087-5,11500,중개거래,개인,개인
주공5,1995,72000,2025,10,1,58.14,1,등촌동,695,11500,중개거래,개인,개인
"진로,미주아파트",1994,93000,2025,10,1,84.96,9,등촌동,701,11500,중개거래,개인,개인
청솔,1994,51500,2025,10,1,49.2,1,방화동,832,11500,중개거래,개인,개인
초록,1998,77000,2025,10,1,59.34,6,화곡동,1139,11500,중개거래,개인,개인
한솔솔파크,2005,106000,2025,10,1,79.24,11,마곡동,716,11500,중개거래,개인,개인
한솔솔파크,2005,91000,2025,10,1,59.81,2,마곡동,716,11500,중개거래,개인,개인
한양아이클래스,2013,7800,2025,10,1,13.79,11,화곡동,926-5,11500,직거래,법인,개인
현대1,1994,91000,2025,10,1,84.84,5,염창동,288,11500,중개거래,개인,개인
가양6단지,1992,86000,2025,10,2,49.5,5,가양동,1485,11500,중개거래,개인,개인
가양6단지,1992,89000,2025,10,2,49.5,10,가양동,1485,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,58000,2025,10,2,39.6,5,가양동,1490,11500,중개거래,개인,개인
가양우성,1990,103000,2025,10,2,84.87,8,가양동,14-3,11500,중개거래,개인,개인
강변,1992,55000,2025,10,2,34.44,15,가양동,1475,11500,중개거래,개인,개인
강변힐스테이트,2005,120000,2025,10,2,84.99,3,염창동,299,11500,중개거래,개인,개인
강변힐스테이트,2005,120000,2025,10,2,84.99,3,염창동,299,11500,중개거래,개인,개인
강서힐스테이트,2015,136000,2025,10,2,84.99,3,화곡동,1165,11500,중개거래,개인,개인
나성,2003,70000,2025,10,2,84.7533,12,등촌동,635-6,11500,중개거래,개인,개인
동신대아,1993,148500,2025,10,2,134.88,5,가양동,1459,11500,중개거래,개인,개인
동아,1998,80800,2025,10,2,59.97,16,염창동,292,11500,중개거래,개인,개인
동아3,1999,95000,2025,10,2,59.7,7,염창동,258-1,11500,중개거래,개인,개인
등촌동아이파크,2004,100000,2025,10,2,84.7556,12,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,98500,2025,10,2,84.7556,3,등촌동,715,11500,중개거래,개인,개인
등촌파밀리에더클래식201동,2020,69500,2025,10,2,49.78,5,등촌동,723,11500,중개거래,개인,개인
디아인스,2018,25000,2025,10,2,23.93,8,화곡동,899-31,11500,직거래,개인,개인
마곡서광(치현마을),1998,51000,2025,10,2,59.67,6,방화동,860,11500,중개거래,개인,개인
마곡서광(치현마을),1998,53750,2025,10,2,59.67,15,방화동,860,11500,중개거래,개인,개인
마곡엠밸리8단지,2016,150000,2025,10,2,84.49,14,마곡동,741,11500,중개거래,개인,개인
마곡힐스테이트,2017,150000,2025,10,2,84.92,11,마곡동,1589,11500,중개거래,개인,개인
무학,1999,79700,2025,10,2,59.38,15,염창동,255,11500,중개거래,개인,개인
방화그린,1993,35000,2025,10,2,33.6,11,방화동,839,11500,중개거래,개인,개인
삼성한마음,1995,75000,2025,10,2,59.94,10,염창동,244-2,11500,중개거래,개인,개인
삼성한사랑1,1997,69500,2025,10,2,59.73,15,등촌동,632-4,11500,중개거래,개인,개인
우장산숲아이파크,2022,117000,2025,10,2,59.9877,3,화곡동,1173,11500,중개거래,개인,개인
우장산숲아이파크,2022,136500,2025,10,2,84.9771,12,화곡동,1173,11500,중개거래,개인,개인
우장산숲아이파크,2022,117500,2025,10,2,59.9877,7,화곡동,1173,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,144500,2025,10,2,84.97,14,화곡동,1159,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,139500,2025,10,2,84.97,11,화곡동,1159,11500,중개거래,개인,개인
우장산힐스테이트,2005,128000,2025,10,2,59.98,15,내발산동,657,11500,중개거래,개인,개인
우장산힐스테이트,2005,142000,2025,10,2,84.98,2,내발산동,657,11500,중개거래,개인,개인
주공10,1995,82000,2025,10,2,58.14,14,등촌동,702,11500,중개거래,개인,개인
주공3,1995,62000,2025,10,2,37.67,13,등촌동,688,11500,중개거래,개인,개인
주공3,1995,90000,2025,10,2,58.14,13,등촌동,688,11500,중개거래,개인,개인
중앙하이츠,1999,115000,2025,10,2,119.85,5,가양동,1467,11500,중개거래,개인,개인
코오롱하늘채,2003,75800,2025,10,2,59.95,2,등촌동,714,11500,중개거래,개인,개인
한보구암마을,1999,83500,2025,10,2,84.39,4,가양동,1495,11500,중개거래,개인,개인
한숲마을대림,1999,70700,2025,10,2,84.83,15,방화동,862,11500,중개거래,개인,개인
한울에이치밸리움B동,2019,27000,2025,10,2,22.81,11,화곡동,1065-2,11500,중개거래,개인,개인
현대1,1994,99000,2025,10,2,84.96,13,염창동,288,11500,중개거래,개인,개인
화곡푸르지오,2002,101000,2025,10,2,84.94,11,화곡동,1091,11500,중개거래,개인,개인
가양6단지,1992,88000,2025,10,3,49.5,15,가양동,1485,11500,중개거래,개인,개인
강서힐스테이트,2015,164500,2025,10,3,128.81,9,화곡동,1165,11500,중개거래,개인,개인
개화,1994,79000,2025,10,3,101.86,9,방화동,819,11500,중개거래,개인,개인
다울,2002,68500,2025,10,3,83.198,5,등촌동,637-26,11500,중개거래,개인,개인
대동황토방2,2003,80000,2025,10,3,59.93,12,등촌동,713,11500,중개거래,개인,개인
"등촌7,8단지주공아파트",1994,57700,2025,10,3,41.85,15,등촌동,707,11500,중개거래,개인,개인
등촌동아이파크,2004,123500,2025,10,3,119.9031,2,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,133000,2025,10,3,165.8299,20,등촌동,715,11500,중개거래,개인,개인
마곡나루경남아파트,1991,86000,2025,10,3,84.29,2,마곡동,1577,11500,중개거래,개인,개인
마곡엠밸리4단지,2014,169000,2025,10,3,114.86,5,마곡동,738,11500,중개거래,개인,개인
마곡엠밸리4단지,2014,169000,2025,10,3,114.86,5,마곡동,738,11500,중개거래,개인,개인
마곡엠밸리7단지,2014,175000,2025,10,3,84.68,2,마곡동,743-4,11500,중개거래,개인,개인
마곡엠밸리9단지,2021,153000,2025,10,3,84.89,10,마곡동,744,11500,중개거래,개인,개인
마곡중앙하이츠아파트,1994,55800,2025,10,3,51.03,15,방화동,852,11500,중개거래,개인,개인
마곡푸르지오,2008,110000,2025,10,3,59.87,12,마곡동,1525,11500,중개거래,개인,개인
마곡현대아파트,1999,54500,2025,10,3,59.92,3,마곡동,1171,11500,중개거래,개인,개인
마곡힐스테이트,2017,154750,2025,10,3,84.92,7,마곡동,1589,11500,중개거래,개인,개인
방화5,1994,64500,2025,10,3,49.77,10,방화동,814,11500,중개거래,개인,개인
방화그린,1993,35700,2025,10,3,33.6,5,방화동,839,11500,중개거래,개인,개인
방화동동부센트레빌(875번지),2003,59700,2025,10,3,68.46,5,방화동,875,11500,중개거래,개인,개인
서광등촌마을아파트,1999,81500,2025,10,3,59.67,6,등촌동,638,11500,중개거래,개인,개인
신동아,1995,60000,2025,10,3,59.4,7,방화동,796,11500,중개거래,개인,개인
염창3우성,1993,90800,2025,10,3,84.96,9,염창동,272-28,11500,중개거래,개인,개인
"진로,미주아파트",1994,88500,2025,10,3,84.96,11,등촌동,701,11500,중개거래,개인,개인
화곡푸르지오,2002,102500,2025,10,3,84.94,7,화곡동,1091,11500,중개거래,개인,개인
화곡푸르지오,2002,118000,2025,10,3,125.021,11,화곡동,1091,11500,중개거래,개인,개인
금호타운,1999,95000,2025,10,4,84.84,19,염창동,240-32,11500,중개거래,개인,개인
"등촌7,8단지주공아파트",1994,58500,2025,10,4,41.85,3,등촌동,707,11500,중개거래,개인,개인
마곡엠벨리(15단지),2014,180000,2025,10,4,114.86,16,마곡동,751,11500,중개거래,개인,개인
주공5,1995,60000,2025,10,4,37.67,6,등촌동,695,11500,중개거래,개인,개인
한보구암마을,1999,70300,2025,10,4,59.58,5,가양동,1495,11500,중개거래,개인,개인
효성A(923-17),2002,17500,2025,10,4,50.22,5,화곡동,923-17,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,54500,2025,10,5,34.44,12,가양동,1490,11500,중개거래,개인,개인
강서쌍용예가,2014,108000,2025,10,5,84.9025,9,염창동,308,11500,중개거래,개인,개인
방화5,1994,61800,2025,10,7,49.77,9,방화동,814,11500,중개거래,개인,개인
주공5,1995,60500,2025,10,8,37.67,9,등촌동,695,11500,중개거래,개인,개인
강변월드메르디앙,2010,150000,2025,10,9,122.1243,6,염창동,240-1,11500,중개거래,개인,개인
마곡13단지힐스테이트마스터,2017,142000,2025,10,9,84.9805,1,마곡동,748,11500,중개거래,개인,개인
마곡13단지힐스테이트마스터,2017,154000,2025,10,9,84.9805,6,마곡동,748,11500,중개거래,개인,개인
마곡엠밸리11단지,2016,126000,2025,10,9,59.79,5,마곡동,746,11500,중개거래,개인,개인
마곡푸르지오,2008,115000,2025,10,9,84.99,12,마곡동,1525,11500,중개거래,개인,개인
마곡힐스테이트,2017,158000,2025,10,9,84.98,5,마곡동,1589,11500,중개거래,개인,개인
무학,1999,77000,2025,10,9,59.38,2,염창동,255,11500,중개거래,개인,개인
우장산힐스테이트,2005,154000,2025,10,9,84.98,17,내발산동,657,11500,중개거래,개인,개인
우장산힐스테이트,2005,154000,2025,10,9,84.98,17,내발산동,657,11500,중개거래,개인,개인
현대1,1994,93000,2025,10,9,84.34,6,염창동,288,11500,중개거래,개인,개인
가양2단지(성지),1992,54000,2025,10,10,34.44,13,가양동,1461,11500,중개거래,개인,개인
가양우성,1990,95250,2025,10,10,84.87,2,가양동,14-3,11500,중개거래,개인,개인
강변,1992,53000,2025,10,10,34.44,2,가양동,1475,11500,중개거래,개인,개인
강서힐스테이트,2015,143000,2025,10,10,84.99,6,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,142700,2025,10,10,84.99,15,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,164500,2025,10,10,128.81,5,화곡동,1165,11500,중개거래,개인,개인
동아3,1999,89700,2025,10,10,59.7,3,염창동,258-1,11500,중개거래,개인,개인
등촌동아이파크,2004,109000,2025,10,10,84.9958,7,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,107000,2025,10,10,84.7556,10,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,109000,2025,10,10,84.9958,7,등촌동,715,11500,중개거래,개인,개인
마곡수명산파크3단지,2007,112000,2025,10,10,84.53,13,내발산동,751,11500,중개거래,개인,개인
마곡승윤노블리안아파트,2008,47600,2025,10,10,84.64,11,마곡동,1360,11500,직거래,개인,개인
마곡엠밸리7단지,2014,222500,2025,10,10,114.86,13,마곡동,743-4,11500,중개거래,개인,개인
마곡엠벨리(15단지),2014,135000,2025,10,10,59.79,8,마곡동,751,11500,중개거래,개인,개인
우성2,1992,81000,2025,10,10,65.88,4,염창동,287-1,11500,중개거래,개인,개인
우장산숲아이파크,2022,117500,2025,10,10,59.9877,14,화곡동,1173,11500,중개거래,개인,개인
제일(코오롱),1999,70000,2025,10,10,59.95,18,등촌동,642,11500,중개거래,개인,개인
주공10,1995,83500,2025,10,10,58.14,3,등촌동,702,11500,중개거래,개인,개인
주공3,1995,84000,2025,10,10,58.14,2,등촌동,688,11500,중개거래,개인,개인
중앙하이츠,1999,95000,2025,10,10,119.85,1,가양동,1467,11500,중개거래,개인,개인
초록,1998,63000,2025,10,10,49.77,3,화곡동,1139,11500,중개거래,개인,개인
초록,1998,55000,2025,10,10,49.77,1,화곡동,1139,11500,중개거래,개인,개인
코오롱하늘채,2003,91000,2025,10,10,84.96,2,등촌동,714,11500,중개거래,개인,개인
태승훼미리2,2004,61000,2025,10,10,84.83,9,내발산동,685,11500,직거래,개인,개인
태영,1999,108000,2025,10,10,114.99,9,염창동,270-1,11500,중개거래,개인,개인
한강타운,1993,119700,2025,10,10,84.99,6,가양동,1460,11500,중개거래,개인,개인
가양2단지(성지),1992,84500,2025,10,11,49.56,7,가양동,1461,11500,중개거래,개인,개인
가양2단지(성지),1992,75200,2025,10,11,49.65,1,가양동,1461,11500,중개거래,개인,개인
가양6단지,1992,59900,2025,10,11,39.6,1,가양동,1485,11500,중개거래,개인,개인
가양강나루현대,1999,95000,2025,10,11,59.76,14,가양동,448-1,11500,중개거래,개인,개인
가양강나루현대,1999,109000,2025,10,11,84.98,4,가양동,448-1,11500,중개거래,개인,개인
가양강나루현대,1999,107000,2025,10,11,84.98,12,가양동,448-1,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,59500,2025,10,11,39.6,9,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,58000,2025,10,11,39.6,7,가양동,1490,11500,중개거래,개인,개인
강변,1992,62000,2025,10,11,34.44,7,가양동,1475,11500,중개거래,개인,개인
강변,1992,68000,2025,10,11,39.6,5,가양동,1475,11500,중개거래,개인,개인
강변,1992,67500,2025,10,11,39.6,15,가양동,1475,11500,중개거래,개인,개인
강변,1992,62000,2025,10,11,34.44,7,가양동,1475,11500,중개거래,개인,개인
강변힐스테이트,2005,126000,2025,10,11,84.99,13,염창동,299,11500,중개거래,개인,개인
강서힐스테이트,2015,135000,2025,10,11,84.99,4,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,163500,2025,10,11,128.81,10,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,159500,2025,10,11,128.81,11,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,123000,2025,10,11,59.99,3,화곡동,1165,11500,중개거래,개인,개인
관음삼성,1997,95000,2025,10,11,84.93,3,염창동,268,11500,중개거래,개인,개인
극동상록수,1999,81900,2025,10,11,59.91,10,염창동,280,11500,중개거래,개인,개인
길훈,1989,69800,2025,10,11,65.88,10,마곡동,1565,11500,중개거래,개인,개인
대림,1995,111000,2025,10,11,89.975,4,등촌동,694,11500,중개거래,개인,개인
동신대아,1993,166500,2025,10,11,164.25,7,가양동,1459,11500,중개거래,개인,개인
동아,1998,82500,2025,10,11,59.97,14,염창동,292,11500,중개거래,개인,개인
동아,1998,76800,2025,10,11,59.97,1,염창동,292,11500,중개거래,개인,개인
등촌동아이파크,2004,105500,2025,10,11,84.7556,4,등촌동,715,11500,중개거래,개인,개인
등촌동아이파크,2004,99000,2025,10,11,84.7556,13,등촌동,715,11500,중개거래,개인,개인
마곡보타닉경남아너스빌,2005,71000,2025,10,11,59.7672,8,마곡동,1252,11500,중개거래,개인,개인
마곡수명산파크2단지,2007,122000,2025,10,11,84.68,8,내발산동,741,11500,중개거래,개인,개인
마곡수명산파크4단지,2008,93500,2025,10,11,59.84,4,내발산동,753,11500,중개거래,개인,개인
마곡수명산파크5단지,2008,98000,2025,10,11,59.84,7,내발산동,749,11500,중개거래,개인,개인
마곡엠밸리11단지,2016,158000,2025,10,11,84.89,8,마곡동,746,11500,중개거래,개인,개인
마곡엠벨리(15단지),2014,149500,2025,10,11,84.86,16,마곡동,751,11500,중개거래,개인,개인
마곡중앙하이츠아파트,1994,52500,2025,10,11,51.03,15,방화동,852,11500,중개거래,개인,개인
마곡중앙하이츠아파트,1994,55000,2025,10,11,51.03,11,방화동,852,11500,중개거래,개인,개인
마곡중앙하이츠아파트,1994,59500,2025,10,11,51.03,11,방화동,852,11500,중개거래,개인,개인
마곡힐스테이트,2017,140000,2025,10,11,84.92,8,마곡동,1589,11500,중개거래,개인,개인
마곡힐스테이트,2017,157500,2025,10,11,84.92,3,마곡동,1589,11500,중개거래,개인,개인
방화5,1994,46800,2025,10,11,39.6,5,방화동,814,11500,중개거래,개인,개인
부영,1994,84800,2025,10,11,80.64,1,등촌동,691-3,11500,중개거래,개인,개인
부영,1994,93000,2025,10,11,80.64,15,등촌동,691-3,11500,중개거래,개인,개인
삼성한사랑1,1997,71700,2025,10,11,59.73,14,등촌동,632-4,11500,중개거래,개인,개인
서광등촌마을아파트,1999,83900,2025,10,11,59.67,7,등촌동,638,11500,중개거래,개인,개인
성원,2001,73000,2025,10,11,59.91,3,염창동,295,11500,중개거래,개인,개인
염창1차한화꿈에그린,2005,166000,2025,10,11,124.96,18,염창동,281-22,11500,중개거래,개인,개인
염창2차보람,2005,70000,2025,10,11,59.87,11,염창동,271-4,11500,중개거래,개인,개인
우장산롯데캐슬,2003,134000,2025,10,11,134.99,9,화곡동,1145,11500,중개거래,개인,개인
우장산숲아이파크,2022,125000,2025,10,11,74.9982,8,화곡동,1173,11500,중개거래,개인,개인
우장산신일해피트리,2023,50000,2025,10,11,43.58,3,내발산동,763,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,150000,2025,10,11,114.98,3,화곡동,1159,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,140000,2025,10,11,84.97,19,화곡동,1159,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,145000,2025,10,11,84.97,14,화곡동,1159,11500,중개거래,개인,개인
"우장산아이파크,이편한세상",2008,142000,2025,10,11,84.97,16,화곡동,1159,11500,중개거래,개인,개인
제일(코오롱),1999,63000,2025,10,11,59.95,3,등촌동,642,11500,중개거래,개인,개인
주공10,1995,86400,2025,10,11,58.14,12,등촌동,702,11500,중개거래,개인,개인
주공3,1995,90000,2025,10,11,58.14,14,등촌동,688,11500,중개거래,개인,개인
주공5,1995,85000,2025,10,11,58.14,5,등촌동,695,11500,중개거래,개인,개인
주공5,1995,84000,2025,10,11,58.14,10,등촌동,695,11500,중개거래,개인,법인
"진로,미주아파트",1994,82000,2025,10,11,84.96,1,등촌동,701,11500,중개거래,개인,개인
한보구암마을,1999,85000,2025,10,11,84.39,16,가양동,1495,11500,중개거래,개인,개인
현대,1993,75500,2025,10,11,84.99,14,방화동,793,11500,중개거래,개인,개인
현대,1993,75500,2025,10,11,84.99,14,방화동,793,11500,중개거래,개인,개인
가양2단지(성지),1992,84500,2025,10,12,49.56,15,가양동,1461,11500,중개거래,개인,개인
가양2단지(성지),1992,56000,2025,10,12,39.6,1,가양동,1461,11500,중개거래,개인,개인
가양6단지,1992,66500,2025,10,12,39.6,6,가양동,1485,11500,중개거래,개인,개인
가양강나루현대,1999,95500,2025,10,12,59.76,9,가양동,448-1,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,59500,2025,10,12,39.6,4,가양동,1490,11500,중개거래,개인,개인
강변한솔솔파크,2005,93000,2025,10,12,84.97,1,염창동,300,11500,중개거래,개인,개인
강변힐스테이트,2005,122800,2025,10,12,84.99,8,염창동,299,11500,중개거래,개인,개인
동아,1998,79500,2025,10,12,59.97,11,염창동,292,11500,중개거래,개인,개인
마곡13단지힐스테이트마스터,2017,155000,2025,10,12,84.9805,5,마곡동,748,11500,중개거래,개인,개인
마곡수명산파크2단지,2007,117000,2025,10,12,84.82,5,내발산동,741,11500,중개거래,개인,개인
마곡수명산파크4단지,2008,94500,2025,10,12,59.84,5,내발산동,753,11500,중개거래,개인,개인
마곡수명산파크4단지,2008,95500,2025,10,12,59.84,6,내발산동,753,11500,중개거래,개인,개인
마곡수명산파크4단지,2008,107500,2025,10,12,84.96,11,내발산동,753,11500,중개거래,개인,개인
마곡수명산파크5단지,2008,95500,2025,10,12,59.76,9,내발산동,749,11500,중개거래,개인,개인
마곡수명산파크5단지,2008,94500,2025,10,12,59.87,3,내발산동,749,11500,중개거래,개인,개인
마곡엠벨리(15단지),2014,138000,2025,10,12,59.79,12,마곡동,751,11500,중개거래,개인,개인
마곡중앙하이츠아파트,1994,40300,2025,10,12,39.58,4,방화동,852,11500,중개거래,개인,개인
벽산늘푸른,1998,68700,2025,10,12,59.97,15,염창동,290,11500,중개거래,개인,개인
삼성하나로,1994,68000,2025,10,12,59.26,7,염창동,248-3,11500,중개거래,개인,개인
삼성한사랑1,1997,71150,2025,10,12,59.73,16,등촌동,632-4,11500,중개거래,개인,개인
신동아,1995,73500,2025,10,12,59.82,10,염창동,289,11500,중개거래,개인,개인
주공5,1995,77000,2025,10,12,58.14,2,등촌동,695,11500,중개거래,개인,개인
태영,1999,77400,2025,10,12,59.97,15,염창동,270-1,11500,중개거래,개인,개인
한보구암마을,1999,74000,2025,10,12,59.58,7,가양동,1495,11500,중개거래,개인,개인
한사랑2삼성,1999,88800,2025,10,12,84.96,2,등촌동,634-2,11500,중개거래,개인,개인
가양6단지,1992,89000,2025,10,13,49.5,9,가양동,1485,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,58500,2025,10,13,39.6,4,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,74000,2025,10,13,49.5,2,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,80000,2025,10,13,49.5,2,가양동,1490,11500,중개거래,개인,개인
강변,1992,69000,2025,10,13,39.6,14,가양동,1475,11500,중개거래,개인,개인
강서힐스테이트,2015,143000,2025,10,13,84.99,13,화곡동,1165,11500,중개거래,개인,개인
강서힐스테이트,2015,137000,2025,10,13,84.99,3,화곡동,1165,11500,중개거래,개인,개인
개화,1994,76000,2025,10,13,101.86,2,방화동,819,11500,중개거래,개인,개인
극동,2000,94000,2025,10,13,85,8,염창동,246-23,11500,중개거래,개인,개인
더트루엘마곡HQ,2024,57100,2025,10,13,48.3293,1,공항동,1398,11500,직거래,개인,법인
동신대아,1993,134000,2025,10,13,101.97,12,가양동,1459,11500,중개거래,개인,개인
동양하우징(899-4),2017,24500,2025,10,13,28.25,12,화곡동,899-4,11500,중개거래,개인,개인
"등촌1,2단지주공아파트",1994,59000,2025,10,13,41.85,7,등촌동,687,11500,중개거래,개인,개인
등촌동아이파크,2004,104000,2025,10,13,84.7556,15,등촌동,715,11500,중개거래,개인,개인
마곡13단지힐스테이트마스터,2017,165000,2025,10,13,84.9805,14,마곡동,748,11500,중개거래,개인,개인
마곡수명산파크4단지,2008,87000,2025,10,13,59.84,1,내발산동,753,11500,중개거래,개인,개인
마곡수명산파크5단지,2008,94000,2025,10,13,59.87,12,내발산동,749,11500,중개거래,개인,개인
마곡엠밸리9단지,2021,130000,2025,10,13,59.86,11,마곡동,744,11500,중개거래,개인,개인
마곡푸르지오,2008,113500,2025,10,13,84.99,12,마곡동,1525,11500,중개거래,개인,개인
벽산,1999,95000,2025,10,13,114.96,5,마곡동,429,11500,중개거래,개인,개인
보람(640),2002,72000,2025,10,13,58.93,7,등촌동,640,11500,중개거래,개인,개인
삼미,1982,58500,2025,10,13,58.29,2,방화동,585-4,11500,중개거래,개인,법인
"우장산아이파크,이편한세상",2008,140000,2025,10,13,84.97,18,화곡동,1159,11500,중개거래,개인,개인
일성스카이빌,2001,35900,2025,10,13,59.96,10,화곡동,914-3,11500,중개거래,개인,개인
장미,1994,42000,2025,10,13,39.96,5,방화동,841,11500,중개거래,개인,개인
장미,1994,57000,2025,10,13,59.04,4,방화동,841,11500,중개거래,개인,개인
주공3,1995,90000,2025,10,13,58.14,7,등촌동,688,11500,중개거래,개인,개인
지엠벨리,2019,27400,2025,10,13,25.61,10,등촌동,656-17,11500,직거래,개인,개인
"진로,미주아파트",1994,93500,2025,10,13,84.96,12,등촌동,701,11500,중개거래,개인,개인
한강타운,1993,125000,2025,10,13,84.99,7,가양동,1460,11500,중개거래,개인,개인
한강타운,1993,120000,2025,10,13,84.99,3,가양동,1460,11500,중개거래,개인,개인
한강타운,1993,125000,2025,10,13,84.99,7,가양동,1460,11500,중개거래,개인,개인
한솔솔파크,2005,118500,2025,10,13,84.87,12,마곡동,716,11500,중개거래,개인,개인
현대2,1993,79000,2025,10,13,82.74,8,염창동,249-11,11500,중개거래,개인,개인
가양2단지(성지),1992,58500,2025,10,14,39.6,1,가양동,1461,11500,중개거래,개인,개인
가양2단지(성지),1992,62500,2025,10,14,39.6,2,가양동,1461,11500,중개거래,개인,개인
가양2단지(성지),1992,64800,2025,10,14,39.6,6,가양동,1461,11500,중개거래,개인,개인
가양6단지,1992,98000,2025,10,14,58.65,11,가양동,1485,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,77000,2025,10,14,49.5,2,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,58500,2025,10,14,39.6,12,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,53000,2025,10,14,34.44,9,가양동,1490,11500,중개거래,개인,개인
가양도시개발9-2단지,1993,72000,2025,10,14,49.5,1,가양동,1490,11500,중개거래,개인,개인
강변,1992,84500,2025,10,14,49.5,6,가양동,1475,11500,중개거래,개인,개인
강변코아루,2007,110000,2025,10,14,84.77,12,염창동,303,11500,중개거래,개인,개인
강변한솔솔파크,2005,112500,2025,10,14,84.97,13,염창동,300,11500,중개거래,개인,개인
