단지명,건축년도,거래금액(만원),계약년,계약월,계약일,전용면적(㎡),층,법정동,지번,시군구코드,거래유형,매수자구분,매도자구분
그린맨션3차,1988,26800,2018,5,1,110.97,5,본동,276,27290,,,
동방낙원,1988,14100,2018,5,1,46.35,2,상인동,1473,27290,,,
별메마을,1996,12800,2018,5,1,58.14,5,도원동,1442,27290,,,
삼성명가타운,2000,31600,2018,5,1,104.46,9,파호동,89,27290,,,
성당동더샵,2008,32500,2018,5,1,84.8886,6,성당동,834,27290,,,
성당래미안e-편한세상1단지,2009,35700,2018,5,1,84.96,10,본리동,74-1,27290,,,
성당래미안e-편한세상2단지,2009,31600,2018,5,1,84.88,3,본리동,76-1,27290,,,
성당래미안e-편한세상2단지,2009,34000,2018,5,1,84.96,15,본리동,76-1,27290,,,
성당우방,1985,21400,2018,5,1,84.97,5,본리동,210-1,27290,,,
성서6주공,1997,13500,2018,5,1,49.95,14,용산동,414-4,27290,,,
성서대백창신한라타운,1994,14150,2018,5,1,59.96,3,이곡동,1194-2,27290,,,
성서동서서한,1994,13000,2018,5,1,56.345,14,이곡동,1189-2,27290,,,
세광그린타운,1996,18800,2018,5,1,84.86,6,진천동,472,27290,,,
용산미진태왕,1998,25000,2018,5,1,84.86,2,용산동,936,27290,,,
용산세광그린빌,1999,20550,2018,5,1,60,12,용산동,935,27290,,,
우인그레이스(102동),2016,27900,2018,5,1,84.755,5,감삼동,282-6,27290,,,
월성e-편한세상,2009,57100,2018,5,1,100.3623,26,월성동,536,27290,,,
월성주공4단지,1992,7000,2018,5,1,38.64,5,월성동,270,27290,,,
월성주공5,1992,9900,2018,5,1,49.94,10,본동,616,27290,,,
월성주공5,1992,6500,2018,5,1,38.64,9,본동,616,27290,,,
월성협성휴포레,2016,65000,2018,5,1,102.9285,12,월성동,1863,27290,,,
진천역AK그랑폴리스,2013,42900,2018,5,1,84.9195,12,유천동,597,27290,,,
현대백조타운,1989,31500,2018,5,1,84.54,3,본리동,433,27290,,,
그린맨션2차,1986,22500,2018,5,2,84.87,3,본동,247,27290,,,
동백맨션,1990,18200,2018,5,2,84.92,5,진천동,131,27290,,,
두산위브,2009,30000,2018,5,2,84.976,14,성당동,840,27290,,,
두산위브,2009,37550,2018,5,2,112.1351,16,성당동,840,27290,,,
보성은하,1994,17200,2018,5,2,59.88,1,상인동,42,27290,,,
삼성래미안1,2000,37000,2018,5,2,119.62,8,대곡동,1012,27290,,,
상인자이,2007,57000,2018,5,2,125.7931,9,상인동,133,27290,,,
상인푸르지오,2010,25500,2018,5,2,59.699,9,상인동,1598,27290,,,
성남,1978,13600,2018,5,2,41.72,1,성당동,726-1,27290,,,
성당래미안e-편한세상3단지,2009,46000,2018,5,2,127.31,2,성당동,839,27290,,,
성당코오롱하늘채,2007,32900,2018,5,2,84.9172,7,감삼동,287-57,27290,,,
성서주공2,1995,10000,2018,5,2,37.67,15,신당동,1846,27290,,,
성서주공2,1995,11000,2018,5,2,49.44,13,신당동,1846,27290,,,
시영장미3,1993,10200,2018,5,2,49.8,5,상인동,1591,27290,,,
용산미진태왕,1998,27000,2018,5,2,84.86,8,용산동,936,27290,,,
용산영남,1998,15000,2018,5,2,60,4,용산동,914,27290,,,
월드마크웨스트엔드,2010,82000,2018,5,2,124.87,27,감삼동,461,27290,,,
월배힐스테이트,2008,47800,2018,5,2,123.0396,10,대천동,413,27290,,,
월성주공4단지,1992,10400,2018,5,2,52.09,4,월성동,270,27290,,,
유천포스코더샵,2006,31000,2018,5,2,84.9258,9,유천동,488,27290,,,
이안월배,2009,39500,2018,5,2,84.9838,20,대천동,326-1,27290,,,
진천대동,2000,16500,2018,5,2,85,3,진천동,710,27290,,,
가람마을,1997,13000,2018,5,3,59.99,7,도원동,1439,27290,,,
남도,1981,10300,2018,5,3,46.94,2,성당동,726-3,27290,,,
내당보성,1983,24000,2018,5,3,65.76,1,두류동,138-2,27290,,,
대곡사계절타운,1997,25400,2018,5,3,116.95,12,도원동,1438,27290,,,
대구월배2차아이파크,2016,49900,2018,5,3,84.5402,6,유천동,612,27290,,,
대구월배2차아이파크,2016,49500,2018,5,3,84.2245,19,유천동,612,27290,,,
보성산호,1989,16950,2018,5,3,56.93,4,상인동,1474-1,27290,,,
본리롯데캐슬,2008,39000,2018,5,3,117.5472,3,본리동,193-3,27290,,,
삼성한국형,1999,27400,2018,5,3,84.91,16,호산동,350,27290,,,
상인중석타운,1997,26000,2018,5,3,84.72,1,상인동,72-1,27290,,,
성당래미안e-편한세상2단지,2009,35200,2018,5,3,84.96,7,본리동,76-1,27290,,,
성서2보성타운,1997,16900,2018,5,3,59.98,16,용산동,501-2,27290,,,
성서주공2,1995,10200,2018,5,3,42.9,8,신당동,1846,27290,,,
성서청구타운,1997,17000,2018,5,3,59.95,3,용산동,416-5,27290,,,
월드마크웨스트엔드,2010,95000,2018,5,3,175.55,27,감삼동,461,27290,,,
월배태영데시앙,2009,37400,2018,5,3,84.9614,17,대천동,497-2,27290,,,
월성보성2,1991,32000,2018,5,3,195.33,11,월성동,277,27290,,,
월성우방타운,1991,27500,2018,5,3,134.73,4,월성동,500-9,27290,,,
월성월드메르디앙,2009,41500,2018,5,3,84.3652,4,월성동,777-2,27290,,,
일신(15동),1981,12050,2018,5,3,55.86,1,감삼동,33-1,27290,,,
장기누림타운,2002,30000,2018,5,3,81.421,1,장기동,812,27290,,,
진천역AK그랑폴리스,2013,38500,2018,5,3,84.9663,9,유천동,597,27290,,,
진천역AK그랑폴리스,2013,44100,2018,5,3,84.8541,20,유천동,597,27290,,,
코오롱하늘채,2004,33700,2018,5,3,115.71,13,진천동,716-6,27290,,,
한마음,1997,18400,2018,5,3,59.95,4,용산동,419-1,27290,,,
강산타운,1997,35650,2018,5,4,134.63,16,도원동,1443,27290,,,
내당보성,1983,17500,2018,5,4,46.98,3,두류동,138-2,27290,,,
동서송현해맞이,1987,20500,2018,5,4,84.885,5,송현동,209,27290,,,
미리샘마을,1998,22000,2018,5,4,84.93,9,도원동,1444,27290,,,
보성,1993,19800,2018,5,4,59.96,7,상인동,1515,27290,,,
보성은하,1994,18000,2018,5,4,59.88,23,상인동,42,27290,,,
산새마을,1996,10400,2018,5,4,58.14,2,도원동,1457,27290,,,
삼미타운,1994,17500,2018,5,4,84.9,14,상인동,351-2,27290,,,
삼성한국형,1999,24000,2018,5,4,84.91,3,호산동,350,27290,,,
상인성지한서타운,1993,20500,2018,5,4,84.98,10,상인동,1522,27290,,,
상인푸르지오,2010,25400,2018,5,4,59.699,4,상인동,1598,27290,,,
상인푸르지오,2010,25800,2018,5,4,59.699,15,상인동,1598,27290,,,
성남,1978,13300,2018,5,4,41.72,1,성당동,726-1,27290,,,
성서동서서한,1994,13950,2018,5,4,56.345,11,이곡동,1189-2,27290,,,
성서보성화성타운,1994,14000,2018,5,4,59.95,1,이곡동,1191,27290,,,
성서주공2,1995,10600,2018,5,4,37.67,5,신당동,1846,27290,,,
성서청구타운,1997,17300,2018,5,4,59.95,4,용산동,416-5,27290,,,
송현우방하이츠,2002,20000,2018,5,4,59.99,1,송현동,906,27290,,,
송현우방하이츠,2002,38000,2018,5,4,134.92,20,송현동,906,27290,,,
송현주공3,1986,36500,2018,5,4,73.94,1,상인동,797,27290,,,
아람마을,1997,17500,2018,5,4,59.63,13,도원동,1440,27290,,,
용산롯데캐슬,2004,36000,2018,5,4,78.58,8,용산동,230-10,27290,,,
우방드림시티,2003,25000,2018,5,4,59.8919,25,감삼동,521,27290,,,
우방죽전타운,1997,29000,2018,5,4,84.97,9,용산동,221,27290,,,
월성동코오롱하늘채2단지,2007,49000,2018,5,4,142.273,3,월성동,1551,27290,,,
월성래미안,2006,47000,2018,5,4,124.6477,3,월성동,1300,27290,,,
월성보성1,1991,15500,2018,5,4,58.11,5,월성동,364,27290,,,
월성푸르지오,2008,32700,2018,5,4,77.7287,1,월성동,120,27290,,,
월성협성휴포레,2016,51800,2018,5,4,84.9675,8,월성동,1863,27290,,,
월성화성타운,1991,16300,2018,5,4,65.91,15,월성동,500-7,27290,,,
유성아트빌,2002,20000,2018,5,4,82.962,3,용산동,215-29,27290,,,
청구타운,1995,26500,2018,5,4,84.985,5,감삼동,553,27290,,,
청구타운,1995,19700,2018,5,4,59.99,7,감삼동,553,27290,,,
청구타운,1995,19500,2018,5,4,84.925,10,진천동,490,27290,,,
한마음,1997,25100,2018,5,4,84.98,9,용산동,419-1,27290,,,
한빛마을(성서주공3차),1998,15300,2018,5,4,59.99,2,이곡동,1306-4,27290,,,
한실들마을,1996,9200,2018,5,4,39.87,15,도원동,1429,27290,,,
한화꿈에그린,2005,24000,2018,5,4,84.89,8,신당동,682-30,27290,,,
현대백조타운,1989,28280,2018,5,4,73.95,1,본리동,433,27290,,,
대곡이오스,2003,19300,2018,5,5,59.9938,19,대곡동,58,27290,,,
대곡청구,1992,15300,2018,5,5,59.91,16,대곡동,77,27290,,,
보성산호,1989,23400,2018,5,5,66.57,3,상인동,1474-1,27290,,,
삼호맨션,1981,12500,2018,5,5,61.35,2,성당동,828,27290,,,
성당래미안e-편한세상1단지,2009,41300,2018,5,5,101.64,12,본리동,74-1,27290,,,
성서6주공,1997,12500,2018,5,5,49.95,11,용산동,414-4,27290,,,
성서보성화성타운,1994,14900,2018,5,5,59.95,3,이곡동,1191,27290,,,
성서청구타운,1997,23000,2018,5,5,84.965,1,용산동,416-5,27290,,,
용산모닝빌A,2002,21740,2018,5,5,84.938,6,용산동,211-1,27290,,,
용산미진태왕,1998,21550,2018,5,5,59.97,16,용산동,936,27290,,,
월배힐스테이트,2008,35200,2018,5,5,84.9767,17,대천동,413,27290,,,
월성e-편한세상,2009,49200,2018,5,5,84.9796,9,월성동,536,27290,,,
월성푸르지오,2008,34500,2018,5,5,77.7287,25,월성동,120,27290,,,
장기초록나라,2000,24600,2018,5,5,59.9897,9,장기동,813-1,27290,,,
진천역대성스카이렉스,2008,34300,2018,5,5,84.9302,26,진천동,508,27290,,,
진천이안,2006,31500,2018,5,5,84.9913,5,진천동,561-5,27290,,,
청구블루빌,2000,34000,2018,5,5,114.98,13,용산동,917,27290,,,
동방낙원,1988,13700,2018,5,6,46.35,1,상인동,1473,27290,,,
성서우방타운,1994,29600,2018,5,6,104.46,17,이곡동,1192,27290,,,
용산미진태왕,1998,20000,2018,5,6,59.97,13,용산동,936,27290,,,
우방죽전타운,1997,22900,2018,5,6,59.91,18,용산동,221,27290,,,
현대백조타운,1989,31800,2018,5,6,84.54,4,본리동,433,27290,,,
가람마을,1997,13250,2018,5,7,59.99,6,도원동,1439,27290,,,
남도,1981,11000,2018,5,7,46.94,5,성당동,726-3,27290,,,
대곡역화성파크드림,2007,31400,2018,5,7,84.8403,14,유천동,298-1,27290,,,
삼정그린빌,2002,46700,2018,5,7,134.1983,5,두류동,486-2,27290,,,
상인푸르지오,2010,25450,2018,5,7,59.699,7,상인동,1598,27290,,,
상인화성파크드림2단지,2010,44300,2018,5,7,84.98,15,상인동,1596,27290,,,
용산롯데캐슬,2004,61750,2018,5,7,143.98,8,용산동,230-10,27290,,,
